id,bathroom,locality,property_size,rent_amount,type_bhk
388,3,Attapur,3000,21000,3
390,3,Kondapur,1885,25000,3
391,2,Miyapur,1300,16000,3
392,2,Shaikpet,1500,18500,3
394,2,Madhapur,1550,17500,2
395,2,Kondapur,1000,15500,2
396,2,West Marredpally,1700,20000,2
403,3,Madhapur,1266,28000,3
412,2,Kukatpally,1053,15000,2
414,2,Nizampet,1150,15000,2
415,4,Gachibowli,2270,36000,4
417,2,Chanda Nagar,1450,20000,3
418,2,Kukatpally,1100,20000,2
421,2,Shaikpet,1100,17500,2
422,2, Kukatpally,925,14000,2
423,2,Narsingi,1465,25000,3
433,2,Toli Chowki,1500,14000,3
439,2,Kondapur,1500,27000,3
445,3,Narsingi,1836,25000,3
446,3,Kondapur,1495,23000,3
447,2,Gajularamaram,1100,13000,2
450,3,Gachibowli,1820,30000,3
451,2,Pragathi Nagar,1150,15500,2
455,3,Manikonda,2055,25000,3
457,3,Tellapur,2010,17000,3
458,2,Kondapur,1585,22900,3
459,3,Manikonda ,1960,22000,3
460,3,Serilingampally,1960,29000,3
463,2,Nagole,1155,13000,2
464,3,Narsingi,2025,30000,3
466,2,Miyapur,1300,14000,2
470,3,Nallagandla,1692,23000,3
471,3,Hastinapuram,1699,19500,3
473,2,Kondapur,1085,18000,2
474,2,Kondapur,1350,23000,3
477,2,Attapur,1300,15000,2
481,1,Hafeezpet,880,8000,1
482,3,Kondapur,1630,23000,3
483,3,Kondapur,1630,23000,3
484,3,Kondapur,1455,23000,3
486,1,Shamshabad,1200,10000,2
487,3,Kondapur,1503,22000,3
488,2,Kondapur,1100,20000,2
492,3,Kondapur,1900,27000,3
494,2,Kondapur,1108,18000,2
495,2,Gachibowli,1000,20000,2
500,1,Bachupally,900,9500,1
501,2,Tarnaka,1250,15500,2
502,2,Miyapur,1100,19000,2
505,2,Kondapur,1100,18000,2
508,3,Moula Ali,1350,13000,3
510,2,Himayatnagar,1000,17000,2
511,3, Nizampet,1350,16000,3
514,2,Kondapur ,1100,18000,2
516,2,Kothapet,1000,9500,2
517,2,Miyapur,1450,23000,3
522,3,Mehdipatnam,1500,20000,3
523,2,Chanda Nagar,885,12000,2
531,2,Miyapur,1350,17000,2
535,2,Manikonda,980,12500,2
537,2,Miyapur,1120,10500,2
539,2,Miyapur,1170,17000,2
540,4,Madeenaguda,3000,40000,4
541,2,Madinaguda,1200,20,3
544,2,Serilingampally,700,12500,2
548,2,Ramachandrapuram,1000,9000,2
549,3,Nizampet,1750,17000,3
555,3,Kokapet,2069,30000,3
559,3,Madinaguda,1685,30000,3
569,2,Khajaguda,1200,18000,2
572,2,Nanakaramguda,1185,25000,3
576,3,Gachibowli,1500,30000,3
580,3,Ranga Reddy District,1800,21000,3
584,2,Kompally,1000,12000,2
586,2,Manikonda,1150,16000,2
590,1,Gopanapalli Thanda,600,9000,1
592,1,Kukatpally,600,10000,2
597,2,Begumpet,1500,18000,3
601,3,Kokapet,1800,21000,3
605,2,Miyapur,1350,15000,3
608,2,Gachibowli,1300,20000,3
609,2,Gachibowli,1300,20000,3
613,2,Peeramcheru,1247,16000,3
616,2,Kondapur,1200,16000,2
621,2,Nizampet,1000,10000,2
623,2,Banjara Hills,1100,18000,2
626,1,Kompally,1058,8000,1
629,2,Miyapur,1150,14000,2
630,2,Miyapur,1150,14000,2
631,2,Miyapur,1500,17000,3
634,2,Kukatpally,1150,20000,3
635,2,Chanda Nagar,1200,12000,2
636,2,Peerzadiguda,1250,13000,2
639,2,Pragathi Nagar,1150,13500,2
644,2,Gajularamaram,900,8500,2
645,3,Kondapur,3200,30000,3
646,2,Nacharam,1070,15000,2
649,2,Kukatpally,900,12000,2
652,2,Mehdipatnam,1300,15000,2
653,2,Pragathi Nagar,1128,11000,2
654,1,Secunderabad,600,6500,1
658,3,Manikonda,1635,20000,3
